thread_id,summary
14,"The California Independent System Operator (Cal-ISO) plans to file a petition with federal regulators to require generators to bid 70% of their supply into the forward market, aiming to reduce wholesale power costs. The state's Public Utilities Commission is expected to make a similar filing. The move is intended to mitigate market power and protect utilities from the cost impact of market power. The ISO's action has surprised the state's Electricity Oversight Board, which is seeking clarification on whether the ISO can take this action without board approval."
15,"Kimberly is asking Kate and Monica when the trades will be changed in Enpower to reflect the Dow Jones Index. Kate informs Kimberly that Bob Badeer is leading the project and offers to update her on the progress. Monica confirms that Bob is handling the negotiations and assures Kimberly that deals liquidating within the month have been updated. Kimberly sends a follow-up email to Kate and Monica, reiterating her question about when the trades will be changed in Enpower."
16,"The email thread discusses the approved jurisdictions for trading credit derivatives on EnronOnline. Germany has been added to the approved list, while other European jurisdictions such as France, Gibraltar, and Spain are not approved. The email also mentions that banks incorporated in non-approved jurisdictions may be able to trade out of branches located in approved jurisdictions. Canada is also not an approved jurisdiction. There is a request for a list of customer Global IDs for US counterparties that will be allowed to see the credit derivatives quotes on EnronOnline. The sender assures that the list will be provided by the end of the workday."
17,"An offensive comment was found in the men's restroom, and security has been notified. The email also emphasizes the importance of adhering to company values and maintaining professionalism in the workplace. Another email requests contributions for a marathon to raise funds for leukemia research. There are also emails regarding applications for position limit exemptions for ENA's NYMEX energy commodities futures trading, and employees are asked to respond if they have any power of attorney, control, or financial interest in any commodity futures account. There is also a brief exchange about a list of online contracts."
18,"Joe Stepenovitch sent multiple emails to himself, confirming that his messages were successfully relayed to the recipient jls@fullenweider.com. The emails contain no additional information or content."
19,Sara Shackleton asks Michelle to review a Master Energy Purchase and Sale Agreement and provide a copy of the proposed setoff language. Michelle discusses with Yair the request to include Enron's affiliates but not Allegheny's due to regulatory restrictions. Sara suggests preserving setoff with ENA's affiliates and Michelle checks internally for agreement. Sara later informs Tracy that they cannot eliminate setoff for Allegheny's non-regulated affiliates. Michelle sends a blackline with changes to the ISDA agreement and Sara says they are still reviewing the request.
20,"The email thread discusses the need to find a replacement for Andy Fastow in the role of ""President, Northern Pipeline Sales Division"" at Northern Natural Gas. The concern is that Fastow, as the CFO of Enron Corp, may have had access to transportation/capacity information that could violate the marketing affiliate rule. Frazier King suggests Cindy Olsen as a replacement, who is not an officer or director of a marketing affiliate or Northern. Mary Kay questions this suggestion and suggests using Andy's replacement instead. The final decision is pending."
21,The email thread discusses the allocation or direct charging of a cost center related to Enron Corp Business Controls. The main concern is whether the cost center should be part of the corporate allocation or directly charged. There is also a question about the responsibility for covering the expenses of Kyle's trip to Minneapolis. Different individuals express their opinions and seek clarification on the matter. The total cost of Kyle's trip is $1603.28.
22,"An important organization announcement regarding GPG has been sent out via email. The announcement is time-sensitive and confidential, so it couldn't be distributed through the usual Notes Team. Instead, recipients are asked to forward the message to everyone in their respective departments. Field locations will receive the announcement via burst FAX. Drew Fossum and Emily Sellers both received the announcement and commented that Dan, who is mentioned in the email, seems like a good guy and is enthusiastic about joining the organization."
23,"Sara asks John to confirm if the Instinet amendment for additional access at Enron House is correct. She can have it signed immediately. Sara also mentions speaking with Thomas Fay about setting up Instinet in London and informs Sam that she has the Instinet files in her office. Selena emails Laurel, stating that John wants an additional terminal in London under the same contract they currently have with ECT Investments."
24,Sara Shackleton is requesting a credit worksheet for an ISDA Master Agreement between Enron Teeside Operating Limited (ETOL) and RMT. She asks Rod or Karolina if there is any reason not to use RMT and if an ETOL sell-off is imminent. Rhett suggests booking the deal in ENA if a sell-off is imminent. Jorge provides information on current trades with ETOL and confirms that the transaction confirm should be in ISDA format. He also asks for verification of any ETOL deals on ENA/RMT books and the remaining terms.
25,"The email thread discusses various matters related to trading agreements and assignments. Debra Perlingiere confirms readiness to proceed with the Master Agreement but is waiting for the counterparty's credit department. There is a proposed form of assignment from El Paso Energy Marketing Canada Inc. that needs consent. The email also mentions the approval of El Paso Merchant Energy-Gas, L.P. for trading financial products and the replacement of the old Master Agreement with an ISDA Master Agreement. Power trading is not approved until the assignment of the power license is confirmed."
26,"Debra Perlingiere from Enron North America Corp. thanks Laurie Ellis for her efforts and attaches a manual invoice to SWG. Jane M Tholt wants the penalty billed to Southwest Gas and is open to them challenging it. Debra Perlingiere suggests billing the penalty and mentions that the contract states that if the buyer does not schedule, they will pay the replacement price differential plus $0.15. The replacement price differential is estimated to be around $16.80."
27,Ben is reaching out to Meg to explain his low GMAT score and how it does not accurately reflect his abilities. He offers to provide documentation on his disability if needed. He expresses his strong desire to attend UT and his belief that he can contribute to and excel in the program. Ben also asks about the timeline for hearing back from the Admissions Office and inquires about the individuals he will be meeting with during his Admissions Visit.
28,"The email thread discusses various topics, including plans for New Year's Eve, experiences at different locations, and opinions about college football conferences. One person expresses dissatisfaction with being in a flat location for New Year's Eve, while another person mentions going to a club in town called Prague. There is also a suggestion to throw a national championship party and create a new rivalry with a team to write a fight song about. The conversation then shifts to a discussion about the Big 12 conference in college football, with one person criticizing the conference and suggesting it should be renamed ""the Big 2"" due to the dominance of two teams. The email ends with a comparison between the Big 12 and the SEC conferences."
29,"Walter Guidroz sends an email with a ClickPaper approval for November 9, 2000, and mentions that he will be out of the office for a training class. Adnan Patel replies to Tana Jones, confirming that the correct name for the counterparty is RAG Coal Sales of America. Tana asks Adnan to check on the name change, and Adnan explains that the company changed its name from Cyprus Amax Coal Corporation to RAG American Coal Sales Company and then to RAG Coal Sales of America. Walter also sends an email with the list of GCP signoffs for the Clickpaper approvals."
30,"Kaye Ellis requests that anyone flying to the Legal Conference in San Antonio book their tickets soon to avoid paying full fare. Michael Brown confirms that it will be him, Justin, and Paul attending. Taffy Milligan asks for Mark's input on recreational activities and business center needs for the conference. Mark expresses interest in playing golf. Kaye suggests ordering 8 men's shirts in large for the conference attendees."
31,"The email thread involves multiple individuals discussing the revisions to a draft Act and Board Resolution. The revised documents are attached in both clean and redlined versions. One change made was in the Renewal Notice section, reflecting that ECC will renew unless Calpine notifies otherwise. The execution documents will be sent electronically for Janet's initials. The only deviation from the proposed changes was the deletion of article 4.2, sec vii, re: MAC. Feedback is requested, and any questions can be directed to Gerald's office."
32,"The email thread discusses a natural gas deal in California and its impact on the market. The California Department of Water Resources is looking to hedge gas purchases for long-term contracts. The deal has caused the spread between Cal 02 and Cal 03 to narrow. The producers are hedged, but production is disappointing. Customers are waiting for the market to stabilize before hedging. The team is interested in whether more deals like this will occur."
33,"The email thread discusses the upcoming performance review session for summer interns who are leaving. Traci Warner, the Director of A/A Recruiting, informs the recipients about the scheduled review sessions for their interns and requests them to bring completed performance feedback forms and any other feedback from team members. Vince Kaminski expresses his opinion that his intern, Todd Bland, deserves a full-time offer and asks Vasant to write an evaluation for him. Vince also asks Krishna to keep an eye on the event for his intern, Russell Parks, and mentions that he believes Russell deserves an offer."
34,"Tobin Carlson confirms that he did not violate any rules the previous day. Tana Jones informs Tobin that they requested 5000 for natural gas but were only approved for an additional 2000, bringing their total to 17,000. They are unsure of their current positions and rely on Tobin to provide that information. Tobin asks about the investigation into why their positions were so off."
35,"There is a discussion about staff meetings and scheduling conflicts. Drew asks Dorothy to cover a staff meeting on April 9 and a large GC meeting on April 12. Dorothy agrees but mentions that she has jury duty on the 12th. Louis offers to cover the April 12 meeting if Dorothy is unable to attend. There is also mention of a meeting formerly known as Mike's, which Emily confirms is scheduled for March 3. Drew suggests continuing the Monday morning meetings and asks Emily to put them on his calendar. Louis suggests leaving a voicemail on Sundays to update the team."
36,"Sara Shackleton informs Denis O'Connell that she has spoken with Clement Abrams and forwarded an attached guaranty. Denis requests Sara to have the attached document executed and faxed to Matt Flett at Morgan Stanley in London. Sara also mentions that EnronCredit.com Limited has finalized its ISDA with MSCS and requests a copy of the document. Denis emphasizes the urgency of executing the guaranty. Sara forwards the message to Tanya Rohauer, mentioning that EnronCredit.com Limited is awaiting the ENE guaranty and that the documents were heavily negotiated."
37,"Kathie Grabstald is requesting Mike to write the Executive Letter for the next issue of the newsletter, with an outline provided. She also mentions that Mark Frevert has requested the rotation of the Executive Letter among the presidents of EWS. Kathie attaches a letter from Greg Whalley as a reference. In another email, Kathie thanks Vince Kaminski for allowing a photoshoot for the newsletter and asks for revisions to an article draft. She also schedules an interview with Mr. Kaminski for a business unit article. Kathie also reaches out to Greg Whalley to request an interview for a profile article in the newsletter."
38,"Sharon confirms receiving the documents and will notify Marie once they are signed. Marie asks if Sharon received her package with the original BP Amoco master netting agreements. In a response, someone criticizes BP Amoco for not understanding the relationships between the parties involved. They clarify several points, including that HPL is not seeking an assignment of the Seacrest easement and that HPL is not paying BP Amoco $50K. They also mention that HPL has nothing to do with the abandoned portions of the Seacrest pipeline. There is a request for an update on the BP situation. Another email warns against sending out information to unknown contacts. Willie reports receiving calls from someone claiming to be from BP Amoco but refusing to provide their name or number. They advise not sending out any confirmations blindly and to inform the team about this issue."
39,The email thread consists of multiple messages requesting phone numbers. The initial email asks for Randy Pais and David Marshall's phone numbers. Another email clarifies that EES is maintaining business as usual and that there is no need to cut any people. A separate email apologizes for a mistake regarding schedules. The last email asks for Jason and Jo's cell and home numbers.
40,Joseph is asking if the email has been forwarded to Cristina and Bev's office and if he should call them to follow up. Susan suggests that the email should have been sent to Steffes instead.
41,"Jason asks Eric if he wants to watch something together, and Eric says he was planning on watching at home. Jason asks where Eric plans to watch it, and Eric asks why Jason wants to know. Jason then asks if Eric is watching football tomorrow, and Eric says he hasn't decided yet. Jason also asks if Eric heard back from America West, to which Eric replies that he will let him know. The initial email from Eric asks Jason what he and Donnita are doing for New Years."
42,"Sandra apologizes for her behavior and expresses embarrassment. Rogers reassures her that no apology is necessary and shares his own disappointment with upper management. Tom tells Sandra she never has to apologize to him. Sandra apologizes again, mentioning her behavior on Friday. Jim jokes about being drunk. Sandra thanks everyone for their comments. Jeff tells Sandra she doesn't need to apologize and offers career assistance. He also mentions a party invitation and jokes about Wes Walton buying a Ferrari."
43,"The email thread includes various individuals sharing their Christmas wish lists and discussing a revised Christmas card list. Mark suggests a flashlight with a magnet for the car trunk, while Michelle shares her specific gift preferences. Audrey sends a revised Christmas card list for review, and Kevin informs Vince and Mike about plans for gift baskets, suggesting alternative tokens of appreciation for certain individuals. Kevin Moore seeks approval and input on the gift baskets."
44,The Economist is interested in Enron's eBusiness operations and wants to speak with someone at Accenture who has worked on Accenture's eBusiness work for Enron. Accenture is unsure if they can disclose any information without violating nondisclosure agreements with Enron. They are seeking guidance from Enron on whether they should participate in the interview. Vance Meyer from Enron wants to coordinate with Accenture before moving forward.
45,"Enron employees in the Houston area have received communication from United HealthCare (UHC) regarding the termination of their contract with Memorial Hermann Health Systems (MHHS). This termination has resulted in the removal of certain physicians from the UHC network. Enron is supporting UHC in their contract negotiation efforts, and they have authorized UHC to process claims as if the termination had not occurred. Enron has also reduced the number of affected participants from 1,050 to 127. Employees are advised to call UHC's customer service for proper benefits verification and to obtain reimbursement for any payments made upfront. Open enrollment for 2001 will be coming soon."
46,"Ben Jacoby has made changes to the attached document for Change Order #1 to the ABB Purchase Agreement. The changes include reducing the Purchase Amount by the full amount of the two cancelled transformers ($1.572 million) and adding a Cancellation Charge of $323,200 to be paid upon execution of the Change Order. Ben asks Kay Mann to forward the document to Sandridge for ABB's review and approval. Kay confirms that she will print and fax the email and attachment and informs Ben that she has informed Jeff of her activities."
47,"Dawn is requesting confirmation from risk that all counterparties with master agreements with ECC need to be booked with 2 legs. She mentions that currently, they are being bridged as one leg between ENA and the counterparty, causing problems during settlement. Risk needs to verify that this is only for financial swaps and not physical deals. IT needs to adjust the logic and guidelines for Tagg Maintenance to handle this. Dawn asks if a meeting needs to be set up to discuss further issues concerning ECC Master Agreements."
48,"The email thread discusses penalty charges related to gas deals. Mike asks Patti to review the deals and determine if Southwest Gas penalized multiple deals or just one. Lisa provides details of the penalties charged by different counterparties. Laurie mentions that all penalties were netted in payments received from Southwest Gas. Darron forwards an email from Bryce, the Manager of physical gas settlements, with a summary of penalties. Finally, someone states that the charges are not valid and that they will not pay penalties on a swing deal at a constrained point. The trader at Agave has been notified of this decision."
49,"The sender apologizes for the delay in contacting about the trailer due to being busy. They confirm lunch plans for tomorrow and mention voting for the new sports arena. They also inform that the latest schedule will be sent to the lawyer after lunch, allowing for any additional input."
50,"Chris Mallory changed the start date for deal 554257.01 to 3/21-3/31. Natsource found an additional trade by Jeff Richter: Enron Buys El Paso for 275.00 in May, 15 NP, and 25 mws. Some deals were entered with incorrect BOM dates, but they have been corrected. Stephanie Piwetz changed deals 553809 and 553810 to APB and deal 554166 to BP Energy Co. Jeff Richter is currently entering the rest of his deals. Missing deals include Enron Buys Reliant and Enron Sells Reliant, both to be changed to APB, and Enron Buys PGET and Enron Buys BP Energy, both with specific dates and mws."
51,"Debra Perlingiere from Enron North America Corp. is sending execution documents to Northeast and thanks Beth for her assistance. Debra clarifies a section in the contract regarding gas purchases and transporters. Beth agrees to withdraw a problematic sentence and suggests deleting a number in the last sentence. Debra agrees to the changes and proposes additional modifications. Beth agrees to the changes, and Debra incorporates them into the contract."
52,Melba requests approval for changes to the FX product description and for it to be posted on the web. Janine seeks clarification on the internal counterparties for EOL and whether the services agreement between ENA and EEFT includes RMT for internal trades. Melba also asks William about setting up Central time for trading until 4:00.
53,"The thread discusses issues with cell phone battery life and the use of pagers as an alternative means of communication. One person provides their pager number and requests not to leave voice messages. Another person mentions that they will have their pager on and can only receive numeric messages. Someone else asks about their pager and another person shares their pager information, including a phone number and email address for paging. They mention they are still figuring it out."
54,"Stephanie informs Kate about a deal that was verbally agreed upon between Enron and Powerez, but she can't find it in the system. Kate contacts Judy at EES to discuss the discrepancy and plans for Jubran to speak with Matt about the trade. Stephanie clarifies that the deal is for Enron to buy 25mws from Powerez and sell it to EES. Kate asks about the delivery point for the deals."
55,"Gregg Penman has made edits to Vlady's draft risk management policy. Vlady has concerns about the edits, as they were made to the base Enron Corp. risk management policy. Gregg explains that the edits were made to align the policy with the MEH Operating Agreement. There are discussions about the titles of certain positions and the wording of certain sections. Gregg plans to send the revised policy to Peoples Energy Resources."
56,"Pierre Aury and Jeffrey Shankman discuss LNG shipping and the potential for collaboration with MOSK, a Japanese shipping company. They propose accessing MOSK's idle fleet at a marginal cost to develop spot LNG cargoes without long-term commitments. A fax is needed from Enron to MOSK to initiate discussions. Shankman agrees to send the fax and plans to visit London in the next four weeks. Aury gives him permission to make any necessary edits. Aury also mentions planning a trip to Paris in January or February."
57,"Jeff Dasovich proposes potential amendments to the bond bill regarding customers on Direct Access and their obligations to pay for power. He suggests exempting customers who were on Direct Access when DWR started buying power and are still on Direct Access when the bill passes from paying for the bonds. He also proposes that customers who switched to Direct Access should only pay for power provided by DWR that they actually consumed. Additionally, Dasovich suggests providing incentives for customers to switch to Direct Access to reduce the burden on the state budget. He questions the need to suspend Direct Access if a dedicated rate component is created. William Booth agrees with the need for amendments but disagrees with the exemption for customers switching to Direct Access by September 1."
58,"Peter is summarizing the need for finalizing the swap structure and coordinating across various groups to ensure funding by the end of next week. He mentions the need for a term sheet and highlights the lack of communication between parties regarding agreements, documents, and covenants. He discusses issues with the form of guarantee expected from Enron Corp. and the governing law of the guarantee. Peter also mentions the need for legal opinions from external counsel regarding Enron Canada and the unaffiliated nature of Swapco. He raises concerns about credit/collateralization/margin requirements and the repayment of fees and increased costs. Peter concludes by emphasizing the importance of coordination and suggests a conference call with relevant groups."
59,"Lorna is following up on a request for information on clearing functions for an audit. Tana has not received a response from Edmund and David regarding the email requesting information on exchanges and rules governing trades. Tana also asks Matthias about the rules and regulations that govern trades he might enter into besides the IPE and NYMEX exchanges. Matthias responds that the Futures Trading Act applies to brokers in Singapore, but ECTRIC Singapore Branch is exempt from licensing requirements. Tana continues to prompt Edmund and David for a response."
60,"Enron is considering doing business with CalPeak Power, a project company funded by United Technologies Corporation (UTC). Enron is concerned about CalPeak's lack of financials and wants more information about credit support mechanisms. Kim Ward, an Enron employee, is unsure if they should proceed without guarantees or more information. Chuck Hinckley, representing CalPeak, explains that while there is no absolute guarantee from UTC, there will be credit support mechanisms in place. Kim seeks advice from J. and expresses the need for credit establishment and contracts before proceeding."
61,"Dana asked who has the E-schedules for companies 1n2 and 272, as Marnie is looking for them and they are not in the file cabinet. Brian Schwertner responded that he does not have them. Dana then informed everyone that Brian Dawson had the schedules and she got them from him. Marnie thanked Dana for trying to track them down. Brian Schwertner asked if they need to sign an in/out form when taking files out of the cabinet. Tammy Barta mentioned that she turned in the schedules for company 272."
62,"Teresa requested Tana to send an End of Life (EOL) Non-Disclosure Agreement (NDA) to Outercurve Technologies. Tana asked for the legal name of the counterparty, whether the agreement is bilateral or one-way, the nature of the information being provided, the address, and the phone and fax number of Outercurve Technologies. Teresa assured Tana that she will provide the required information."
63,"The email thread involves multiple individuals discussing various documents and agreements. Sheila requests a revised document from Alan and asks him to forward it to Les, Dan, and herself. Chris sends a document to NorthWestern. Nicole attaches a draft letter agreement and requests an amendment of the ISDA. Sara sends a rough draft of a letter to Dave, discussing the options of ""right to match"" and ""savings sharing."" Jeff sends a draft for review and suggests payment terms for an offshore contract. Kay concludes by suggesting signing the contract next week."
64,"Jason Bass is discussing a potential trade with Eric Bass. Jason offers Freeman, Garner, and Beasley in exchange for Anderson/Watters and Taylor. Eric rejects the offer, stating that he doesn't need another receiver like Toomer and believes that Jeff George's value has decreased. Jason declines Eric's counteroffer of Garner and Toomer for Taylor. The conversation continues with Eric offering Freeman, Garner, and McNabb for Taylor and George, but Jason is not interested. Jason mentions that he is looking forward to having George back in his lineup. The email thread ends with Eric asking Jason what he wants for Taylor."
65,"Darren inquired about whether Prime Trade is for ENA or ECT Investments. Sheila asked Darren to email Ted. Darren forwarded a PrimeTrade agreement to Sara, which was requested by Charlie Zahringer. Kathleen Goss sent the agreement to Darren, asking him to review and sign two copies. Sara asked if she had already sent the agreement. Darren initially informed Sara that the Financial Trading Group wants to enter into a prime trading agreement with First Boston."
66,"The email thread discusses a job opening for a Commercial Manager position at Duke Energy Field Services in Houston, TX. The responsibilities include securing natural gas supply, negotiating contracts, coordinating with internal groups, managing pipeline and plant operations, and evaluating business opportunities. The minimum qualifications include a bachelor's degree and seven years of industry experience, while desired qualifications include ten years of experience in the natural gas or energy industry. Interested candidates can submit their resumes electronically. The thread also includes unrelated discussions about a legal case and a voice messaging system issue."
67,"Glencore Ltd, a Swiss corporation, is mentioned in the email thread. David Minns asks where Glencore Ltd is incorporated, to which Tana Jones responds that they are a Swiss corporation. Leslie adds that Glencore Ltd is not authorized to trade US power."
68,"The email thread discusses the future of the CAISO and the potential for the CA IOUs to join DSTAR. Carl Imparato suggests that if FERC were to decertify the CAISO and order the CA utilities to join a regional RTO like DSTAR, it could be up and running within 12 months. Mary Hain expresses concerns about the governance of DSTAR and suggests waiting for RTO West to form before considering consolidation. Tom Delaney, however, states that DSTAR is doing well and has a business-minded independent board."
69,"The first email is a real estate newsletter sent by Iona Alphonso, discussing the current state of the economy and encouraging recipients to make purchases to stimulate it. The second email is a spam email promoting a service where individuals can direct their own adult films. The third email is another spam email advertising the sale of 142 million email addresses for marketing purposes. The fourth email is also a spam email offering bulk email services to reach millions of prospects."
70,"Soma Ghosh contacted Tana Jones regarding the Bank of America Credit Support Annexe. Soma provided contact information for James Allred at B of A, who would pass on the documents to the relevant lawyer. Soma emphasized the urgency of processing and getting the documents signed. Richard Stein at B of A assured a speedy response. Soma also mentioned leaving messages with Teresa regarding Mahonia documents and requested consistency in the Chase and Mahonia contracts."
71,"Vince Kaminski wants to hire Anita DuPont as a senior admin assistant, reporting to Shirley. Sheila Walton asks if the position has been posted on the job board to give existing employees a chance before hiring externally. Sheila requests a job description from Shirley and suggests interviewing Anita simultaneously. Norma Villarreal takes over for Sheila and asks for the job description to begin the process. Vince confirms that they need to go through the posting phase first. Irma Alvarez apologizes for the confusion and asks Shirley to send the job description to Norma."
72,"Stephanie Sever from EnronOnline has sent a series of emails to different individuals, providing them with User IDs and Passwords to access live prices on the EnronOnline website for desk-to-desk trading. Each email contains specific information for each individual, such as the book that has been set up for them and the User ID and Password they should use. Stephanie also reminds them to keep their login credentials secure and provides the contact information for the helpdesk in case they encounter any issues."
73,"John Watson is discussing potential dates for a dinner invite with Kimberly Watson. They are considering three weekends in November but want to avoid the 17th in case they decide to travel during Thanksgiving week. They are also trying to coordinate with the Gourmet Group dates. Jane Hill has confirmed her availability for any of the three weekends. John suggests offering Jane the 10th or the 17th and asks Kimberly if she has any conflicts. Kimberly prefers the 3rd or the 17th and plans to invite Lee Ferrell, who recently left Enron. John emphasizes the need to confirm Lee's availability so they can finalize the plans."
74,"The email thread discusses the gas daily prices for the Bazor Ridge Treating Facility. Susan Pereira provides the prices for Sonat gas on specific dates in October. Stevens Hollister asks if the volumes have the 1% fuel and transportation costs deducted. Susan confirms that the volumes need to have the fuel deducted and the prices should be reduced by $0.24/mmbtu for transportation. Stevens also asks for the November prices, to which Susan explains that the deal converted to the average of three IF indices + .01, less transport and fuel. She mentions that ENA has taken losses on cashing out negative imbalances on this production. Kim Dillard requests a copy of the November Daily Gas Prices for filing monthly production reports."
75,Suzanne suggests going to Vincent's for lunch and asks Kay if she wants to make reservations. Kay agrees and mentions that she hasn't talked to anyone yet. Suzanne informs Kay that Sheila can't go and asks if Carlos is still joining. Kay says it's not a problem if today isn't a good day. Suzanne confirms the plan and makes a reservation under the name Adams.
76,Dan has been tasked with communicating with Coleman's attorney to address their concerns and make final changes to the agreement. Dan is also asked to handle an additional item regarding the definitions section. Dan is given the contact information for Coleman's attorney to speed up the process. There is a discussion about adding a receipt and delivery point to the contracts with a specific fee. Dan is asked to revise the attached documents based on a meeting with Coleman.
77,The email thread consists of multiple individuals sending attachments of an updated list of master netting agreement assignments. Marie also mentions that they will circulate a revised list periodically. The main point of the thread is to share the updated assignment list and inform recipients that future revisions will be sent out regularly.
78,"Enron has shared its 2001 goals with employees, emphasizing the company's vision to become the world's leading company. The goals are available on Enron's intranet and are intended to inspire employees to find innovative ways to help the organization achieve its objectives. One employee requests a printed copy of the goals."
79,"Darron and Sean are discussing their upcoming trip in March. Darron suggests going to Winter Park, but Sean prefers Keystone. Darron provides details about their itinerary, including their arrival in Denver, their stay in Silvercreek, and their plans to ski in Silvercreek and possibly Winter Park. Sean shares information about the weather in Denver and offers to provide lift tickets at a discounted price. They both express excitement about seeing each other and mention other activities they can do in Denver."
80,Professor Ronn has requested a flip chart and markers for his presentation. He has also sent his presentation handout to be copied for the meeting. He will be arriving on Wednesday and has requested a hotel reservation closer to Enron. Shirley has ordered an overhead projector and made copies of the presentation. She has also asked Professor Ronn to email a copy of the presentation to save time. Vince has confirmed the dinner reservation and the number of attendees for the meeting. Professor Ronn has expressed his gratitude and confirmed his schedule.
81,"Two Master Gas Agreements, from DTE Energy and Conectiv Energy Supply Inc., are awaiting ENA signature. Debra Perlingiere requests that all gas contract documents, except for HPL Contracts, be sent to Cyndie Balfour-Flanagan in Contract Administration. Bob Walker clarifies that the email from Debra applies to all gas contracts except HPL Contracts, which should still be sent to Cheryl Dudley."
82,"The Carlton Resolution is at 75% completion, and the SOL for Sunday February 10th was pulled. The MOPS outage will continue due to weather conditions, resulting in a cut of approximately 100,000 a day. No significant system issues were reported over the weekend. There was a request for urgency in sending updates on Sunday nights. The weekend notes include updates on various meters and issues, such as production losses and cuts into the Hub. In terms of power trading, SOCO was buying from FPL, and Florida was a seller due to rain. ERCOT prices went up after an afternoon schedule traded for $75."
